modelo,preço,loja,marca
"Smartphone Xiaomi Redmi A3 128GB 4GB de RAM Tela 6,7"" Câmera Traseira Dupla 8MP + QVGA - Preto",1099.0,americanas,xiaomi
"Smartphone Motorola Moto G35 5G 128GB 8GB RAMBOOST Tela 6.7"" 1.000 NITS Câmera 50MP Selfie 16MP - Grafite",1299.0,americanas,motorola
Smartphone Samsung Galaxy A16 128GB 4GB RAM Tela 6.7” FHD+ Super AMOLED Câmera de até 50MP - Cinza Smartphone Samsung Galaxy A16 128GB + 4GB de RAM Tela 6.7” FHD+ Super AMOLED Câmera de até 50MP - Cinza,1299.0,americanas,samsung
Smartphone Samsung Galaxy A16 128GB + 4GB de RAM Tela 6.7” FHD+ Super AMOLED Câmera de até 50MP - Azul Escuro,1299.0,americanas,samsung
Smartphone Samsung Galaxy A16 5G 256GB + 4GB de RAM Tela 6.7” FHD+ Super AMOLED Câmera de 50MP - Azul Escuro,1899.0,americanas,samsung
"Smartphone Samsung Galaxy A16 5G 128GB + 4GB RAM Tela 6.7"" Câmera Tripla 50MP + 5MP + 2MP - Cinza Smartphone Samsung Galaxy A16 5G 128GB + 4GB RAM Câmera Tripla 50MP + 5MP + 2MP - Cinza",1499.0,americanas,samsung
Smartphone Samsung Galaxy A16 5G 128GB + 4GB RAM Tela 6.7” Câmera Tripla 50MP + 5MP + 2MP - Azul Escuro,1499.0,americanas,samsung
"Smartphone Samsung Galaxy A25 5G 256GB 8GB de RAM Tela Infinita de 6.5"" Câmera Traseira Tripla 50MP OIS + 8MP + 2MP - Azul Escuro",1749.0,americanas,samsung
"Smartphone Xiaomi Redmi 14C BR 256GB 4GB RAM Virtual Tela 6,88"" 120hz Câmera Traseira 50MP - Preto",1599.0,americanas,xiaomi
"Smartphone Motorola Moto G75 5G 256GB Tela FHD+ 6.8"" 12GB RAMBOOST Câmera SONY 50MP Selfie 16MP - Preto Smartphone Motorola Moto G75 5G 256GB 12GB RAMBOOST Tela FHD+ 6.8"" Câmera SONY 50MP Selfie 16MP - Preto",1999.0,americanas,motorola
"Smartphone Motorola Moto G75 5G 256GB 12GB RAMBOOST Tela FHD+ 6.8"" Câmera SONY 50MP Selfie 16MP - Azul Smartphone Motorola Moto G75 5G 256GB Tela FHD+ 6.8"" 12GB RAMBOOST Câmera SONY 50MP Selfie 16MP - Azul",1999.0,americanas,motorola
"Smartphone Infinix Hot 50I 256GB 4GB RAM NFC Tela 6,7” 120Hz Câmera Traseira 48MP + Selfie 8MP - Prata",1499.0,americanas,infinix
"Smartphone Infinix Hot 50I 256GB 4GB RAM NFC Tela 6,7” 120Hz Câmera Traseira 48MP + Selfie 8MP - Preto Obsidiana",1499.0,americanas,infinix
"Smartphone Motorola Moto G35 5G 128GB Tela 6.7"" 1.000 NITS 8GB RAMBOOST Câmera 50MP Selfie 16MP - Verde",1299.0,americanas,motorola
"Smartphone Samsung Galaxy A06 128GB 4GB RAM Tela 6,7"" Câmera Traseira 50 + 2MP Frontal 8MP Azul Escuro",749.0,americanas,samsung
"Smartphone Samsung Galaxy A06 128GB 4GB RAM Tela 6,7"" Câmera Traseira 50MP + 2MP Frontal 8MP Branco",749.0,americanas,samsung
"Smartphone Samsung Galaxy A15 4G 128GB Tela 6.5"" 4GB RAM Câmera Tripla + Selfie 13MP - Azul Escuro",999.0,americanas,samsung
"Smartphone Motorola Moto G04S 4G 128GB 8GB RAM Boost Tela 6.6"" Câmera AI 50MP + Selfie 5MP - Grafite",749.0,americanas,motorola
"Smartphone Samsung Galaxy A26 5G 256GB 8GB RAM Câmera 50MP IP67 Tela Super AMOLED 6.7"" Preto",1699.0,americanas,samsung
