modelo,preço,loja
Celular Positivo P41 4G 2.4” Dual SIM Rádio FM - Preto,"R$ 199,00",americanas
"Smartphone Samsung Galaxy A36 5G 128GB 6GB RAM Câmera 50MP IP67 Tela Super AMOLED 6.7"" Recursos AI","R$ 1.899,00",americanas
"Smartphone Infinix Smart 8 Pro 256GB Tela 6.6"" 4GB RAM Câmera Dupla 50MP - Dourado/Preto","R$ 899,90",americanas
"Smartphone Samsung Galaxy A36 5G 256GB 6GB RAM Câmera 50MP IP67 Tela Super AMOLED 6.7"" Recursos AI","R$ 2.099,00",americanas
"Smartphone Samsung Galaxy A56 5G 256GB Preto 8GB RAM Câmera 50MP IP67 Tela Super AMOLED 6.7"" Recursos AI","R$ 2.799,00",americanas
"Smartphone Motorola Edge 50 Fusion 5G 256GB 16GB RAMBOOST Tela 6.7"" 120Hz Câmera 50MP + Selfie 32MP - Light Blue","R$ 2.299,00",americanas
"Smartphone Motorola Edge 50 Neo 5G 256GB 16GB Ram Boost Tela 6,4” 50MP Sony Câmera Moto AI IP68 NFC Latte","R$ 2.499,00",americanas
Celular Multi Up 4G P9139 Preto,"R$ 199,00",americanas
"Smartphone Motorola Egde 50 Fusion 5G 256GB 16GB RAMBoost Tela 6.7"" 120Hz Câmera 50MP + Selfie 32MP - Blue Teal","R$ 2.299,00",americanas
"Celular Samsung Galaxy M35 5G, Câmera Tripla até 50MP, Selfie 50MP, Tela Super amoled + 6.6 120Hz, 256GB, 8GB ram","R$ 2.699,00",americanas
"Smartphone Xiaomi Redmi Note 13 4G 256GB 8GB de RAM Tela 6,67"" Câmera Traseira Tripla 108MP + 8MP + 2MP- Preto","R$ 1.999,00",americanas
Smartphone Xiaomi Redmi Note 13 Pro 256GB / 8GBram,"R$ 2.999,99",americanas
Smartphone Xiaomi Redmi Note 14 256GB 8GB RAM Dual SIM Tela 6.67,"R$ 1.689,00",americanas
Smartphone Xiaomi Poco X7 5G 256GB 8GB RAM Virtual Dual SIM Tela 6.67,"R$ 2.259,00",americanas
"Smartphone Infinix Smart 8 Pro 256GB 4GB RAM Câmera Dupla 50MP Tela Magic Ring 6.6"" 90Hz Preto Smartphone Infinix Smart 8 Pro 256GB 4GB RAM Câmera Dupla 50MP Tela Magic Ring, 6.6"" 90Hz Preto","R$ 899,90",americanas
Smartphone Xiaomi Poco X7 5G 256GB 8GB RAM Virtual Dual SIM Tela 6.67,"R$ 2.159,00",americanas
Smartphone Motorola Edge 60 Fusion 5G 256GB 8GB RAM Super HD Câmera Sony 50MP Moto AI IP68 NFC Cinza,"R$ 2.499,00",americanas
Smartphone Xiaomi Poco X7 5G 512GB 12GB RAM Virtual Dual SIM Tela 6.67,"R$ 2.599,00",americanas
Smartphone Xiaomi Poco X6 Pro 5G 512GB - 12GB Ram,"R$ 3.999,99",americanas
Celular Smartphone Poco X7 Pro 5G 512GB 12GB RAM Dual SIM Tela 6.67,"R$ 3.099,00",americanas
"Smartphone Motorola Edge 50 5G - Green, 256GB, 24GB ram Boost, Câmera Dupla 50 mp Sony, Selfie 32MP e Tela de 6.7","R$ 3.999,00",americanas
Smartphone Xiaomi Poco X7 5G 256GB 8GB RAM Virtual Dual SIM Tela 6.67,"R$ 2.159,00",americanas
Smartphone Motorola Moto G05 50 mp 128 gb 4G XT2523-2,"R$ 1.277,91",americanas
"Smartphone Motorola Moto G15 256GB - Verde, 12GB Ram Boost, Câmera 50MP, Selfie 8MP e Tela 6,7","R$ 1.690,00",americanas
"Smartphone Motorola Razr 50 Ultra 5G - Mocha Mousse, 512GB, 24GB ram Boost, Câmera 50 mp, Selfie 32 mp e Tela de 6,9","R$ 7.999,00",americanas
Smartphone Navcity NP-752 Branco - Android 11 e Dual Chip,"R$ 999,00",americanas
Smartphone Motorola Moto G15 50 mp + 5 mp 256 gb 5G XT2521-2,"R$ 1.626,74",americanas
Smartphone Realme C67 256gb 8gb Ram Global Nfc Cam 108mp Verde,"R$ 1.475,00",americanas
